综合测试,#genre#
CCTV1,http://101.66.198.77:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://101.66.198.77:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://101.66.198.77:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://101.66.198.77:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://101.66.198.77:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://101.66.198.77:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://101.66.198.77:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://101.66.198.77:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://101.66.198.77:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://101.66.198.77:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://101.66.198.77:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://101.66.198.77:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://101.66.198.77:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://101.66.198.77:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://101.66.198.77:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://101.66.198.77:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://101.66.198.77:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV18,http://101.66.198.77:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV19,http://101.66.198.77:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV20,http://101.66.198.77:9901/tsfile/live/0020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV21,http://101.66.198.77:9901/tsfile/live/0021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV22,http://101.66.198.77:9901/tsfile/live/0022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV23,http://101.66.198.77:9901/tsfile/live/0023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV24,http://101.66.198.77:9901/tsfile/live/0024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV25,http://101.66.198.77:9901/tsfile/live/0025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV26,http://101.66.198.77:9901/tsfile/live/0026_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV27,http://101.66.198.77:9901/tsfile/live/0027_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV28,http://101.66.198.77:9901/tsfile/live/0028_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV29,http://101.66.198.77:9901/tsfile/live/0029_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV30,http://101.66.198.77:9901/tsfile/live/0030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV31,http://101.66.198.77:9901/tsfile/live/0031_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV32,http://101.66.198.77:9901/tsfile/live/0032_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV33,http://101.66.198.77:9901/tsfile/live/0033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV34,http://101.66.198.77:9901/tsfile/live/0034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV35,http://101.66.198.77:9901/tsfile/live/0035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV36,http://101.66.198.77:9901/tsfile/live/0036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV37,http://101.66.198.77:9901/tsfile/live/0037_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV38,http://101.66.198.77:9901/tsfile/live/0038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV39,http://101.66.198.77:9901/tsfile/live/0039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV40,http://101.66.198.77:9901/tsfile/live/0040_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV41,http://101.66.198.77:9901/tsfile/live/0041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV42,http://101.66.198.77:9901/tsfile/live/0042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV43,http://101.66.198.77:9901/tsfile/live/0043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV44,http://101.66.198.77:9901/tsfile/live/0044_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV45,http://101.66.198.77:9901/tsfile/live/0045_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV46,http://101.66.198.77:9901/tsfile/live/0046_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV47,http://101.66.198.77:9901/tsfile/live/0047_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV48,http://101.66.198.77:9901/tsfile/live/0048_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV49,http://101.66.198.77:9901/tsfile/live/0049_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV50,http://101.66.198.77:9901/tsfile/live/0050_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV51,http://101.66.198.77:9901/tsfile/live/0051_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV52,http://101.66.198.77:9901/tsfile/live/0052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV53,http://101.66.198.77:9901/tsfile/live/0053_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV54,http://101.66.198.77:9901/tsfile/live/0054_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV55,http://101.66.198.77:9901/tsfile/live/0055_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV56,http://101.66.198.77:9901/tsfile/live/0056_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV57,http://101.66.198.77:9901/tsfile/live/0057_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV58,http://101.66.198.77:9901/tsfile/live/0058_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV59,http://101.66.198.77:9901/tsfile/live/0059_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV60,http://101.66.198.77:9901/tsfile/live/0060_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV61,http://101.66.198.77:9901/tsfile/live/0061_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV62,http://101.66.198.77:9901/tsfile/live/0062_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV63,http://101.66.198.77:9901/tsfile/live/0063_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV64,http://101.66.198.77:9901/tsfile/live/0064_1.m3u8?key=txiptv&playlive=1&authid=0
